,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
0,1.631358,0.014675,0.001229,1.602245,1.659724,68.115378,1.015064
1,1.587381,0.014175,0.001197,1.559875,1.615355,66.996617,1.015489
2,1.522145,0.013595,0.001148,1.494913,1.548118,67.103300,1.015391
3,1.433275,0.012816,0.001081,1.408387,1.458554,67.189382,1.015297
4,1.425194,0.012746,0.001075,1.400330,1.450172,67.203937,1.015412
5,1.433147,0.012824,0.001082,1.407961,1.458166,67.238107,1.015334
6,1.494491,0.013371,0.001128,1.468024,1.520364,67.101949,1.015399
7,1.506456,0.013484,0.001137,1.479696,1.532495,67.252743,1.015345
8,1.504351,0.013470,0.001136,1.477618,1.530394,67.190325,1.015304
9,1.428235,0.012790,0.001079,1.402855,1.452935,67.177929,1.015416
10,1.393186,0.012481,0.001053,1.368636,1.417506,67.144782,1.015423
11,1.401350,0.012718,0.001058,1.376279,1.425982,69.197529,1.014746
12,0.269049,0.008885,0.000751,0.251368,0.286178,66.871185,1.015445
13,0.323708,0.008949,0.000756,0.306029,0.341084,66.940365,1.015418
14,0.376354,0.008921,0.000754,0.358918,0.393820,66.926751,1.015469
15,0.402698,0.008946,0.000755,0.384950,0.420021,67.118479,1.015437
16,0.457069,0.008964,0.000754,0.439176,0.474254,67.372031,1.015330
17,0.519311,0.008996,0.000755,0.501395,0.536726,67.933448,1.015252
18,0.582262,0.009033,0.000754,0.564257,0.599634,68.488600,1.015056
19,0.684700,0.009191,0.000755,0.666729,0.702746,70.726873,1.014667
20,0.851293,0.010047,0.000755,0.831394,0.870875,83.999801,1.012150
21,1.091899,0.013032,0.000754,1.066672,1.117797,142.839784,1.007131
